disorder	n_cases	n_studies	studies	confounded_by_design	status	reason
Sotos syndrome	38	1	GSE74432	True	fail	all 38 cases come from a single study (GSE74432) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.
Down syndrome	29	1	GSE52588	True	fail	all 29 cases come from a single study (GSE52588) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.
Coffin-Siris syndrome	21	1	GSE116992	True	fail	all 21 cases come from a single study (GSE116992) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.
Williams syndrome	20	1	GSE66552	True	fail	all 20 cases come from a single study (GSE66552) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.
CHARGE syndrome	19	1	GSE97362	True	fail	all 19 cases come from a single study (GSE97362) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.
ICF syndrome	15	1	GSE95040	True	fail	all 15 cases come from a single study (GSE95040) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.
7q11.23 duplication syndrome	10	1	GSE66552	True	fail	all 10 cases come from a single study (GSE66552) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.
Weaver syndrome	8	1	GSE74432	True	not-testable	only 8 confirmed case(s) (< 10 minimum to attempt building a classifier at all)
Claes-Jensen syndrome	6	1	GSE108423	True	not-testable	only 6 confirmed case(s) (< 10 minimum to attempt building a classifier at all)
Silver-Russell syndrome	63	2	GSE104451, GSE55491	False	pass-structural	63 cases span 2 independent studies (GSE104451, GSE55491) - a genuine leave-one-study-out test is structurally possible. See results/tables/srs_leave_one_study_out.tsv for whether a classifier could actually be derived and how it generalized, if this disorder was attempted this session.
Kabuki syndrome type 1	37	2	GSE116300, GSE97362	False	pass-structural	37 cases span 2 independent studies (GSE116300, GSE97362) - a genuine leave-one-study-out test is structurally possible. See results/tables/srs_leave_one_study_out.tsv for whether a classifier could actually be derived and how it generalized, if this disorder was attempted this session.
Nicolaides-Baraitser syndrome	16	2	GSE116992, GSE125367	False	pass-structural	16 cases span 2 independent studies (GSE116992, GSE125367) - a genuine leave-one-study-out test is structurally possible. See results/tables/srs_leave_one_study_out.tsv for whether a classifier could actually be derived and how it generalized, if this disorder was attempted this session.
