section	disorder	n_cases	n_studies	studies	confounded_by_design	status	reason	check	expected	observed	reproduced
confounding_gate	Sotos syndrome	38.0	1.0	GSE74432	True	fail	all 38 cases come from a single study (GSE74432) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.				
confounding_gate	Down syndrome	29.0	1.0	GSE52588	True	fail	all 29 cases come from a single study (GSE52588) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.				
confounding_gate	Coffin-Siris syndrome	21.0	1.0	GSE116992	True	fail	all 21 cases come from a single study (GSE116992) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.				
confounding_gate	Williams syndrome	20.0	1.0	GSE66552	True	fail	all 20 cases come from a single study (GSE66552) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.				
confounding_gate	CHARGE syndrome	19.0	1.0	GSE97362	True	fail	all 19 cases come from a single study (GSE97362) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.				
confounding_gate	ICF syndrome	15.0	1.0	GSE95040	True	fail	all 15 cases come from a single study (GSE95040) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.				
confounding_gate	7q11.23 duplication syndrome	10.0	1.0	GSE66552	True	fail	all 10 cases come from a single study (GSE66552) - disease status and study-of-origin/batch are fully confounded by design. A within-study case/control separation, however clean, cannot be attributed to the disorder rather than to batch. NOT REPORTABLE at face value regardless of how good the numbers look.				
confounding_gate	Weaver syndrome	8.0	1.0	GSE74432	True	not-testable	only 8 confirmed case(s) (< 10 minimum to attempt building a classifier at all)				
confounding_gate	Claes-Jensen syndrome	6.0	1.0	GSE108423	True	not-testable	only 6 confirmed case(s) (< 10 minimum to attempt building a classifier at all)				
confounding_gate	Silver-Russell syndrome	63.0	2.0	GSE104451, GSE55491	False	pass-structural	63 cases span 2 independent studies (GSE104451, GSE55491) - a genuine leave-one-study-out test is structurally possible. See results/tables/srs_leave_one_study_out.tsv for whether a classifier could actually be derived and how it generalized, if this disorder was attempted this session.				
confounding_gate	Kabuki syndrome type 1	37.0	2.0	GSE116300, GSE97362	False	pass-structural	37 cases span 2 independent studies (GSE116300, GSE97362) - a genuine leave-one-study-out test is structurally possible. See results/tables/srs_leave_one_study_out.tsv for whether a classifier could actually be derived and how it generalized, if this disorder was attempted this session.				
confounding_gate	Nicolaides-Baraitser syndrome	16.0	2.0	GSE116992, GSE125367	False	pass-structural	16 cases span 2 independent studies (GSE116992, GSE125367) - a genuine leave-one-study-out test is structurally possible. See results/tables/srs_leave_one_study_out.tsv for whether a classifier could actually be derived and how it generalized, if this disorder was attempted this session.				
sotos_demo								discovery_separation	19 Sotos cases separate cleanly from 53 controls (score > 0 vs < 0)	n_case=19, n_control=53; case scores [0.027, 0.158], control scores [-0.157, -0.098]; clean_separation=True; case>0: 19/19; control<0: 53/53	True
sotos_demo								weaver_negative	all 8 Weaver (EZH2) samples score negative	8/8 scored negative; scores=[-0.134, -0.136, -0.147, -0.121, -0.152, -0.105, -0.146, -0.14]	True
sotos_demo								missense_split	16 NSD1 missense VOUS split 9 positive (pathogenic-like) / 7 negative (benign-like)	n=16, positive=9, negative=7	True
sotos_demo								replication_cohort (bonus, not in the original 3 checks)	19 replication Sotos LOF cases (held out of discovery) mostly score positive	n=19, positive=19	
